start_date,end_date,recipient_name,amount
2022-09-16,2023-03-15,"ADVANCED TECHNOLOGY SYSTEMS, INC.",2985711.22
2019-10-01,2019-12-31,"DONALD L. MOONEY ENTERPRISES, LLC",2965289.0
2010-10-01,2010-12-31,"NESTLE USA, INC",2959319.04
2020-05-28,2020-09-30,PERATON ENTERPRISE SOLUTIONS LLC,2958214.76
2011-11-01,2012-10-31,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",2957903.08
2011-06-06,2015-06-03,"PROFESSIONAL PROJECT SERVICES, INC.",2942407.11
2025-04-16,2025-04-17,AMERISOURCEBERGEN DRUG CORP,2922872.47
2014-03-07,2014-10-31,"AEROVIRONMENT, INC.",2921069.67
2009-10-22,2010-09-30,LONG ISLAND POWER AUTHORITY,2917361.23
2017-09-30,2019-05-26,INSERSO CORPORATION,2904304.0
2020-06-08,2021-06-07,"KEARNEY & COMPANY, P.C.",2833915.52
2006-08-07,2009-08-04,"AJAC ENTERPRISES, INC.",2816240.48
2022-09-01,2023-08-18,QBS INC,2791798.0
2023-11-28,2024-09-30,FEDERAL EXPRESS CORPORATION,2786378.76
2015-02-28,2015-02-28,"NATIONAL AIR CARGO GROUP, INC",2777268.14
2003-09-15,2008-08-07,PERATON INC.,2772919.23
2025-02-21,2027-02-28,"ARGON ST, INC.",2770191.0
2013-09-11,2017-07-28,REDSTONE DEFENSE SYSTEMS,2756000.61
2009-09-15,2011-10-06,MISCELLANEOUS FOREIGN AWARDEES,2704373.5
2019-11-12,2023-12-02,"UNIVERSITY OF MARYLAND, COLLEGE PARK",2653770.0
2021-08-01,2024-12-31,TUVLI LLC,2644204.93
2018-09-28,2019-09-27,FOREIGN AWARDEES (UNDISCLOSED),2640744.79
2020-09-24,2023-09-23,L2 DEFENSE INC,2635646.51
2013-09-18,2014-09-17,"CHENEGA TECHNICAL INNOVATIONS, LLC",2630895.74
2016-09-16,2022-03-24,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2624967.34
2017-12-15,2018-12-14,"MICROBIOTIX, INC.",2554223.54
2016-04-01,2021-03-31,"JOSE ERNESTO SALAZAR, LLC",2545821.51
2010-12-09,2012-12-07,UNITED TECHNOLOGIES CORPORATION,2509552.3
2014-09-12,2015-09-30,THE MASON & HANGER GROUP INC.,2485754.17
2012-06-08,2014-01-31,"HIGHPOINT DIGITAL, INC.",2480848.47
2003-09-24,2006-02-28,CALIFORNIA INSTITUTE OF TECHNOLOGY,2480737.99
2025-02-05,2025-02-06,AMERISOURCEBERGEN DRUG CORP,2463623.84
2024-11-15,2024-12-20,INCHCAPE SHIPPING SERVICES DUBAI LLC,2460268.0
2020-06-15,2024-06-14,SILOTECH GROUP INC,2455964.56
2004-03-18,2005-10-31,"APPTIS (MCLEAN), INC.",2425065.74
2019-09-27,2021-10-15,"KUTTA TECHNOLOGIES, LLC",2423024.0
2005-09-15,2006-09-27,"NORTH WIND PORTAGE, INC.",2420991.23
